train/learning_rate,train/value_loss,time/iterations,train/reward,train/entropy_loss,train/policy_loss,time/total_timesteps,train/std,train/explained_variance,train/n_updates,time/fps,time/time_elapsed
0.0007,4.692150115966797,100,-0.30165023,-41.163387298583984,-84.72013854980469,500,1.000725269317627,0.0,99,126,3
0.0007,4.485614776611328,200,-1.6832356,-41.235504150390625,-17.945837020874023,1000,1.0032142400741577,0.0,199,124,8
0.0007,60.99384689331055,300,10.485874,-41.206573486328125,-311.3623962402344,1500,1.0021862983703613,0.0,299,126,11
0.0007,24.445398330688477,400,0.7561632,-41.21666717529297,-14.627706527709961,2000,1.002403736114502,-0.017713308334350586,399,126,15
0.0007,1161.5076904296875,500,-14.448832,-41.20223617553711,1244.7908935546875,2500,1.0020946264266968,-1.1920928955078125e-07,499,125,19
0.0007,11.719820022583008,600,0.47914502,-41.15428161621094,135.37338256835938,3000,1.0004146099090576,0.10690087080001831,599,125,23
0.0007,1.4253569841384888,700,-4.111158,-41.201908111572266,31.605327606201172,3500,1.0017756223678589,-1.1920928955078125e-07,699,125,27
0.0007,6.657618522644043,800,-2.6628723,-41.19758605957031,-83.0859603881836,4000,1.0021220445632935,0.0,799,126,31
0.0007,13.108383178710938,900,-1.1701115,-41.230220794677734,136.806640625,4500,1.0033409595489502,-1.1920928955078125e-07,899,126,35
0.0007,22.070554733276367,1000,-6.116576,-41.2459602355957,-180.4920196533203,5000,1.0039074420928955,0.0,999,126,39
0.0007,71.87969970703125,1100,5.7207823,-41.31133270263672,-343.82171630859375,5500,1.0059113502502441,0.0,1099,126,43
0.0007,6.93444299697876,1200,-0.092922,-41.273887634277344,-103.29439544677734,6000,1.0045883655548096,0.02842092514038086,1199,126,47
0.0007,4.469141483306885,1300,-4.616034,-41.246742248535156,2.621187686920166,6500,1.0040894746780396,0.0,1299,126,51
0.0007,33.16518783569336,1400,0.8909949,-41.31459045410156,233.6222686767578,7000,1.0061701536178589,0.0,1399,126,55
0.0007,27.004119873046875,1500,1.0947924,-41.34067153930664,196.71600341796875,7500,1.0071743726730347,-1.1920928955078125e-07,1499,126,59
0.0007,13.50226879119873,1600,0.41661307,-41.33622360229492,-140.1708984375,8000,1.0070370435714722,0.0,1599,125,63
0.0007,35.86117935180664,1700,5.9110923,-41.37474060058594,-161.07638549804688,8500,1.0082635879516602,0.0,1699,126,67
0.0007,0.37374764680862427,1800,2.0380633,-41.30783462524414,-10.96679401397705,9000,1.0059007406234741,-0.009600162506103516,1799,126,71
0.0007,1.7433807849884033,1900,1.1667857,-41.28729248046875,-8.11799430847168,9500,1.004687786102295,0.013059675693511963,1899,126,75
0.0007,30.929412841796875,2000,-2.005862,-41.25728988647461,-181.9508514404297,10000,1.0042892694473267,0.0,1999,125,79
0.0007,6.231460094451904,2100,5.517916,-41.24761962890625,-56.62348175048828,10500,1.0041286945343018,0.0,2099,126,83
0.0007,15.076730728149414,2200,-12.867984,-41.280357360839844,-122.90093994140625,11000,1.005124568939209,-1.1920928955078125e-07,2199,126,87
0.0007,9099.4814453125,2300,23.39303,-41.241859436035156,-3722.708251953125,11500,1.0038868188858032,-2.384185791015625e-07,2299,126,91
0.0007,7.336978912353516,2400,0.81538874,-41.26618957519531,51.81707000732422,12000,1.0047591924667358,0.0,2399,126,95
0.0007,4.236514568328857,2500,0.16721152,-41.32749557495117,-82.34393310546875,12500,1.0069466829299927,0.0,2499,125,99
0.0007,1.893320083618164,2600,1.5995394,-41.319000244140625,-44.15721893310547,13000,1.0068153142929077,-1.1920928955078125e-07,2599,125,103
0.0007,0.8344931602478027,2700,-1.506285,-41.31883239746094,-32.188865661621094,13500,1.0067003965377808,0.0,2699,125,107
0.0007,227.85714721679688,2800,0.9222099,-41.34185028076172,595.598388671875,14000,1.0075807571411133,0.0,2799,125,111
0.0007,221.80078125,2900,4.0172524,-41.43129348754883,597.3216552734375,14500,1.010653018951416,-0.8143630027770996,2899,125,115
0.0007,0.7142043113708496,3000,0.90218204,-41.41294479370117,11.090658187866211,15000,1.010163426399231,0.0,2999,125,119
0.0007,4.713891506195068,3100,-0.28855932,-41.44801330566406,83.0915756225586,15500,1.0113182067871094,1.1920928955078125e-07,3099,124,124
0.0007,5.295928955078125,3200,-1.7596878,-41.468875885009766,27.985015869140625,16000,1.0120844841003418,0.027261316776275635,3199,124,128
0.0007,1.9404128789901733,3300,0.44705522,-41.499210357666016,-13.424810409545898,16500,1.0134352445602417,0.0,3299,124,132
0.0007,13.485595703125,3400,3.472361,-41.44139862060547,-2.8798489570617676,17000,1.0112237930297852,-1.1920928955078125e-07,3399,124,136
0.0007,4.8629326820373535,3500,-0.58778685,-41.435302734375,64.29869079589844,17500,1.0107386112213135,0.0,3499,124,140
0.0007,5.94089412689209,3600,-0.22610292,-41.438255310058594,-78.56507873535156,18000,1.0110397338867188,1.1920928955078125e-07,3599,124,144
0.0007,18.530574798583984,3700,0.0987202,-41.58985137939453,165.87344360351562,18500,1.016252040863037,0.0,3699,124,148
0.0007,1.6126506328582764,3800,0.49995163,-41.60712432861328,34.68555450439453,19000,1.0167893171310425,0.0,3799,124,152
0.0007,28.017627716064453,3900,0.91929287,-41.580780029296875,-207.98348999023438,19500,1.016160488128662,0.0,3899,124,156
0.0007,22.60304832458496,4000,4.4747806,-41.593074798583984,-167.8836212158203,20000,1.0169246196746826,0.0,3999,124,160
0.0007,1.6641908884048462,4100,0.2359382,-41.588565826416016,-29.469524383544922,20500,1.01639723777771,-0.02661871910095215,4099,124,164
0.0007,9.922224998474121,4200,0.9877629,-41.607486724853516,-120.2332534790039,21000,1.0171726942062378,0.0,4199,124,168
0.0007,5.134453773498535,4300,3.7779706,-41.66610336303711,-82.55789947509766,21500,1.0193228721618652,0.0,4299,124,172
0.0007,5.274712085723877,4400,0.8247509,-41.686065673828125,51.92597198486328,22000,1.020068645477295,0.0,4399,124,176
0.0007,47.317298889160156,4500,-0.20099436,-41.667484283447266,262.1222229003906,22500,1.0192954540252686,0.0,4499,124,180
0.0007,16.601613998413086,4600,3.9415822,-41.62892150878906,143.36354064941406,23000,1.018141746520996,0.0,4599,124,184
0.0007,6.0580549240112305,4700,-0.0046508266,-41.67783737182617,-77.41799926757812,23500,1.0200116634368896,0.0,4699,124,188
0.0007,11.935595512390137,4800,-1.0221027,-41.71368408203125,-131.97340393066406,24000,1.0209628343582153,0.0,4799,124,192
0.0007,4.224717140197754,4900,0.4102699,-41.72819137573242,-76.82936096191406,24500,1.0216501951217651,1.1920928955078125e-07,4899,124,196
0.0007,4.617786884307861,5000,-0.1259192,-41.788326263427734,66.524658203125,25000,1.0237202644348145,0.0,4999,124,200
0.0007,11.641735076904297,5100,-1.4593838,-41.77320098876953,112.8752212524414,25500,1.0234184265136719,0.0,5099,124,204
0.0007,70.7487564086914,5200,4.906419,-41.8330078125,-328.51708984375,26000,1.0254716873168945,0.0,5199,124,208
0.0007,0.5113292336463928,5300,0.23960687,-41.824363708496094,-28.34303855895996,26500,1.0251474380493164,5.960464477539063e-08,5299,124,212
0.0007,2.211698532104492,5400,-0.52362764,-41.865013122558594,-12.770051002502441,27000,1.026519536972046,0.0,5399,124,216
0.0007,9.520328521728516,5500,1.2020121,-41.861881256103516,-67.88801574707031,27500,1.026292324066162,0.0,5499,125,219
0.0007,5.037474632263184,5600,-0.038960412,-41.92258834838867,-66.88746643066406,28000,1.028356909751892,-0.090889573097229,5599,124,224
0.0007,3.449580430984497,5700,-2.0600686,-41.918174743652344,-33.096839904785156,28500,1.0284260511398315,0.0,5699,125,227
0.0007,2.945591449737549,5800,1.5281423,-41.918914794921875,-32.876129150390625,29000,1.0283105373382568,-1.1920928955078125e-07,5799,125,231
0.0007,0.030402813106775284,5900,-0.26007003,-41.895267486572266,3.345221757888794,29500,1.0276882648468018,5.960464477539063e-08,5899,125,235
0.0007,1.6901733875274658,6000,0.13921328,-41.92372131347656,43.729736328125,30000,1.0288413763046265,-1.1920928955078125e-07,5999,125,239
0.0007,1.3270094394683838,6100,-2.633047,-41.971519470214844,-23.95047950744629,30500,1.030380129814148,1.1920928955078125e-07,6099,124,244
0.0007,1.4018423557281494,6200,-1.2011743,-42.00639724731445,40.74824523925781,31000,1.0316624641418457,-2.384185791015625e-07,6199,124,249
0.0007,99.67550659179688,6300,2.2118473,-42.02052307128906,-323.8895568847656,31500,1.0323387384414673,0.0,6299,124,253
0.0007,2.059410572052002,6400,1.053023,-42.03373336791992,57.6511344909668,32000,1.032649040222168,0.0,6399,124,257
0.0007,4.160780429840088,6500,-3.494632,-42.11433792114258,26.9722957611084,32500,1.0354613065719604,0.0,6499,124,261
0.0007,4.754351615905762,6600,0.094100736,-42.090110778808594,-55.237953186035156,33000,1.0347065925598145,0.0,6599,124,265
0.0007,277.3028259277344,6700,-5.375745,-42.162193298339844,-619.5651245117188,33500,1.0372459888458252,-0.0029075145721435547,6699,124,269
0.0007,12.469855308532715,6800,-0.971919,-42.238929748535156,-132.50253295898438,34000,1.0401207208633423,-1.1920928955078125e-07,6799,124,273
0.0007,52.257164001464844,6900,3.8419092,-42.26245880126953,-228.31411743164062,34500,1.0411103963851929,0.0,6899,124,277
0.0007,2.8746049404144287,7000,0.2572815,-42.30327224731445,64.86190032958984,35000,1.0423829555511475,0.0,6999,124,281
0.0007,0.5627313852310181,7100,0.7474191,-42.33513641357422,15.289108276367188,35500,1.0439016819000244,5.960464477539063e-08,7099,124,285
0.0007,70.23743438720703,7200,1.4626646,-42.351417541503906,-333.11566162109375,36000,1.044427514076233,1.1920928955078125e-07,7199,124,289
0.0007,15.673242568969727,7300,0.52560693,-42.40106201171875,141.3050994873047,36500,1.04645574092865,0.015444695949554443,7299,124,293
0.0007,25.47023582458496,7400,-4.3721943,-42.42399215698242,-215.8575439453125,37000,1.0468673706054688,-1.1920928955078125e-07,7399,124,297
0.0007,58.056495666503906,7500,-5.184586,-42.54001998901367,309.3080139160156,37500,1.0512425899505615,-1.1920928955078125e-07,7499,124,301
0.0007,8.310949325561523,7600,1.4995704,-42.54174041748047,-117.06187438964844,38000,1.0512855052947998,0.0,7599,124,305
0.0007,3.086169719696045,7700,1.1035478,-42.53133010864258,-67.70002746582031,38500,1.0508726835250854,0.0,7699,124,309
0.0007,2.4272518157958984,7800,-1.8415315,-42.548255920410156,-63.83878707885742,39000,1.0512830018997192,0.0,7799,124,313
0.0007,66.56163024902344,7900,2.6959558,-42.57574462890625,318.1866760253906,39500,1.0526280403137207,0.0,7899,124,317
0.0007,13.191569328308105,8000,-1.4013164,-42.590641021728516,-125.48091125488281,40000,1.0530905723571777,-1.1920928955078125e-07,7999,124,320
0.0007,8.20593547821045,8100,8.13439,-42.55290222167969,4.210030555725098,40500,1.051819086074829,0.0,8099,124,324
0.0007,0.8162121772766113,8200,-0.025389763,-42.574153900146484,32.25984573364258,41000,1.0526095628738403,0.0,8199,124,328
0.0007,2.039168119430542,8300,-1.4951261,-42.541831970214844,42.110504150390625,41500,1.051407814025879,0.0,8299,124,332
0.0007,12.659092903137207,8400,-2.3516283,-42.592071533203125,-143.32183837890625,42000,1.0532668828964233,0.0,8399,124,336
0.0007,1.786298155784607,8500,-0.6530325,-42.56815719604492,-39.7519645690918,42500,1.0526180267333984,0.0,8499,124,340
0.0007,18.45992660522461,8600,-11.6532545,-42.608097076416016,86.94769287109375,43000,1.054185152053833,0.0,8599,124,344
0.0007,0.815881073474884,8700,1.3976326,-42.621761322021484,15.1973876953125,43500,1.0545471906661987,-0.028719067573547363,8699,124,348
0.0007,1.8888463973999023,8800,0.9170009,-42.665428161621094,-54.16170120239258,44000,1.0562083721160889,0.0,8799,124,352
0.0007,2.987416982650757,8900,0.061924435,-42.649871826171875,65.66996002197266,44500,1.0558056831359863,0.0,8899,125,355
0.0007,2.859286308288574,9000,-0.61575645,-42.737606048583984,25.933460235595703,45000,1.058830976486206,0.0,8999,125,359
0.0007,0.3354983329772949,9100,3.3663268,-42.764503479003906,-20.177120208740234,45500,1.0600473880767822,0.0,9099,125,363
0.0007,1.5129581689834595,9200,1.6150646,-42.75391387939453,12.99841594696045,46000,1.0596572160720825,0.0003706216812133789,9199,125,367
0.0007,8.457422256469727,9300,0.67017376,-42.701107025146484,-104.96708679199219,46500,1.0581889152526855,0.0,9299,125,371
0.0007,12.970088005065918,9400,-0.1958206,-42.746063232421875,140.82412719726562,47000,1.0593898296356201,0.0,9399,124,376
0.0007,9.814972877502441,9500,-0.045966405,-42.79758834838867,125.26068115234375,47500,1.0618174076080322,0.0,9499,124,380
0.0007,11.446019172668457,9600,0.068484396,-42.76996612548828,-139.97451782226562,48000,1.0604960918426514,0.2793467044830322,9599,124,384
0.0007,1.7446752786636353,9700,0.5577932,-42.79921340942383,12.57768440246582,48500,1.0616124868392944,1.1920928955078125e-07,9699,124,388
0.0007,9.649587631225586,9800,6.5101986,-42.86500930786133,35.55913543701172,49000,1.063868761062622,0.0,9799,124,392
0.0007,0.11773856729269028,9900,-0.013546285,-42.87883377075195,4.254091739654541,49500,1.0646445751190186,0.0,9899,125,395
0.0007,0.7218227982521057,10000,-0.9065118,-42.87715148925781,0.5440637469291687,50000,1.0646065473556519,0.0,9999,125,399
